datetime,open,high,low,close
2019-10-27 23:00:00,108.7,108.705,108.68,108.697
2019-10-27 23:20:00,108.697,108.719,108.686,108.708
2019-10-27 23:40:00,108.709,108.74,108.701,108.737
2019-10-28 00:00:00,108.737,108.744,108.707,108.73
2019-10-28 00:20:00,108.731,108.737,108.707,108.725
2019-10-28 00:40:00,108.724,108.786,108.718,108.773
2019-10-28 01:00:00,108.772,108.777,108.732,108.748
2019-10-28 01:20:00,108.746,108.766,108.736,108.739
2019-10-28 01:40:00,108.74,108.756,108.736,108.754
2019-10-28 02:00:00,108.753,108.764,108.746,108.764
2019-10-28 02:20:00,108.763,108.792,108.758,108.774
2019-10-28 02:40:00,108.774,108.777,108.754,108.762
2019-10-28 03:00:00,108.762,108.769,108.753,108.754
2019-10-28 03:20:00,108.756,108.761,108.751,108.757
2019-10-28 03:40:00,108.757,108.77,108.746,108.757
2019-10-28 04:00:00,108.756,108.774,108.75,108.765
2019-10-28 04:20:00,108.765,108.774,108.761,108.769
2019-10-28 04:40:00,108.769,108.774,108.762,108.768
2019-10-28 05:00:00,108.768,108.768,108.747,108.753
2019-10-28 05:20:00,108.752,108.762,108.74,108.74
2019-10-28 05:40:00,108.74,108.746,108.729,108.729
2019-10-28 06:00:00,108.729,108.741,108.716,108.741
2019-10-28 06:20:00,108.741,108.748,108.731,108.738
2019-10-28 06:40:00,108.737,108.742,108.727,108.73
2019-10-28 07:00:00,108.732,108.732,108.713,108.729
2019-10-28 07:20:00,108.73,108.731,108.699,108.703
2019-10-28 07:40:00,108.703,108.751,108.701,108.733
2019-10-28 08:00:00,108.734,108.762,108.728,108.74
2019-10-28 08:20:00,108.739,108.751,108.718,108.723
2019-10-28 08:40:00,108.723,108.725,108.691,108.691
2019-10-28 09:00:00,108.691,108.702,108.662,108.663
2019-10-28 09:20:00,108.663,108.706,108.657,108.689
2019-10-28 09:40:00,108.69,108.713,108.682,108.693
2019-10-28 10:00:00,108.692,108.705,108.682,108.694
2019-10-28 10:20:00,108.694,108.714,108.694,108.704
2019-10-28 10:40:00,108.704,108.731,108.697,108.714
2019-10-28 11:00:00,108.714,108.724,108.689,108.711
2019-10-28 11:20:00,108.71,108.734,108.707,108.73
2019-10-28 11:40:00,108.729,108.741,108.724,108.729
2019-10-28 12:00:00,108.73,108.732,108.707,108.723
2019-10-28 12:20:00,108.723,108.737,108.705,108.72
2019-10-28 12:40:00,108.721,108.881,108.717,108.863
2019-10-28 13:00:00,108.863,108.876,108.834,108.835
2019-10-28 13:20:00,108.834,108.881,108.826,108.866
2019-10-28 13:40:00,108.869,108.936,108.865,108.927
2019-10-28 14:00:00,108.926,108.931,108.875,108.876
2019-10-28 14:20:00,108.876,108.916,108.873,108.873
2019-10-28 14:40:00,108.874,108.924,108.871,108.871
2019-10-28 15:00:00,108.872,108.912,108.866,108.892
2019-10-28 15:20:00,108.894,108.917,108.886,108.902
2019-10-28 15:40:00,108.903,109.023,108.9,109.02
2019-10-28 16:00:00,109.018,109.039,108.98,109.004
2019-10-28 16:20:00,109.005,109.015,108.956,108.97
2019-10-28 16:40:00,108.97,108.99,108.968,108.977
2019-10-28 17:00:00,108.976,108.982,108.936,108.95
2019-10-28 17:20:00,108.952,108.959,108.935,108.943
2019-10-28 17:40:00,108.943,108.957,108.926,108.934
2019-10-28 18:00:00,108.934,108.991,108.932,108.987
2019-10-28 18:20:00,108.987,109.006,108.969,108.999
2019-10-28 18:40:00,109.0,109.011,108.969,109.01
2019-10-28 19:00:00,109.01,109.011,108.944,108.946
2019-10-28 19:20:00,108.946,108.952,108.921,108.924
2019-10-28 19:40:00,108.923,108.938,108.914,108.925
2019-10-28 20:00:00,108.925,108.966,108.924,108.96
2019-10-28 20:20:00,108.96,108.996,108.958,108.996
2019-10-28 20:40:00,108.996,109.002,108.931,108.931
2019-10-28 21:00:00,108.927,108.969,108.919,108.963
2019-10-28 21:20:00,108.963,108.999,108.933,108.971
2019-10-28 21:40:00,108.971,108.982,108.952,108.979
2019-10-28 22:00:00,108.983,108.998,108.968,108.993
2019-10-28 22:20:00,108.993,108.993,108.966,108.971
