Symbol,Name,Last,Change,%Chg,"Options Vol.","% Call Options","% Put Options",Time
EA,"Electronic Arts Inc",111.92,-1.29,-1.14%,26479,60.6%,39.4%,"11:36 ET"
CZR,"Caesars Entertainment Corp",9.88,0.030000000000001,+0.30%,26301,97.1%,2.9%,"11:35 ET"
BIDU,"Baidu Inc",214.85,1.26,+0.59%,25201,43.4%,56.6%,"11:36 ET"
VFC,"V.F. Corp",90.08,-0.090000000000003,-0.10%,24931,83.3%,16.7%,"11:34 ET"
DIS,"Walt Disney Company",109.75,-0.93000000000001,-0.84%,24795,60.2%,39.8%,"11:36 ET"
CVX,"Chevron Corp",115.08,0.59999999999999,+0.52%,24636,66.9%,33.1%,"11:36 ET"
CELG,"Celgene Corp",87.46,-1.69,-1.90%,24443,49.5%,50.5%,"11:36 ET"
CLF,"Cleveland-Cliffs Inc",10.58,-0.27,-2.49%,23981,65.9%,34.1%,"11:36 ET"
UPS,"United Parcel Service",123.55,-0.79000000000001,-0.64%,23910,66.9%,33.1%,"11:36 ET"
GILD,"Gilead Sciences Inc",72.38,-0.13000000000001,-0.18%,23831,57.0%,43.0%,"11:36 ET"
UNH,"Unitedhealth Group Inc",260.68,0.94999999999999,+0.37%,22492,75.4%,24.6%,"11:36 ET"
ADBE,"Adobe Systems Inc",266.55,1.18,+0.44%,22184,50.5%,49.5%,"11:36 ET"
FB,"Facebook Inc",166.5,2.32,+1.41%,21202,63.1%,36.9%,"11:36 ET"
SBUX,"Starbucks Corp",55.21,0.24,+0.44%,20069,57.7%,42.3%,"11:36 ET"
MRK,"Merck & Company",69.33,-0.23,-0.33%,19676,67.8%,32.2%,"11:35 ET"
LEN,"Lennar Corp",51.37,0.68,+1.34%,19451,92.0%,8.0%,"11:36 ET"
CRM,"Salesforce.Com Inc",152.22,0.90000000000001,+0.59%,19258,61.6%,38.4%,"11:36 ET"
CMCSA,"Comcast Corp A",36.34,-0.019999999999996,-0.06%,19096,57.3%,42.7%,"11:36 ET"
WDC,"Western Digital Cp",54.54,-2.51,-4.40%,19018,64.9%,35.1%,"11:36 ET"
ABX,"Barrick Gold Corp",9.76,-0.07,-0.72%,18959,73.3%,26.7%,"11:36 ET"
GOOG,"Alphabet Class C",1171.93,7.29,+0.63%,18594,60.1%,39.9%,"11:36 ET"
VZ,"Verizon Communications Inc",54.7,0.58000000000001,+1.07%,18550,49.9%,50.1%,"11:36 ET"
MCD,"McDonald's Corp",165.73,0.66,+0.40%,18539,65.8%,34.2%,"11:36 ET"
WFC,"Wells Fargo & Company",57.4,-0.060000000000002,-0.10%,17606,47.4%,52.6%,"11:36 ET"
NFLX,"Netflix Inc",353.77,5.36,+1.54%,16788,68.9%,31.1%,"11:36 ET"
AKRX,"Akorn Inc",13.77,-0.24,-1.71%,16720,61.9%,38.1%,"11:36 ET"
DBX,"Dropbox Inc",27.19,0.31,+1.15%,16519,78.5%,21.5%,"11:36 ET"
VALE,"Vale S.A.",12.58,-0.39,-3.01%,16428,65.2%,34.8%,"11:36 ET"
KSS,"Kohl's Corp",80.93,-0.079999999999998,-0.10%,16109,84.5%,15.5%,"11:36 ET"
CAT,"Caterpillar Inc",141.59,-0.46000000000001,-0.32%,16065,51.9%,48.1%,"11:36 ET"
WMB,"Williams Companies",28.62,0.1,+0.35%,16016,43.2%,56.8%,"11:36 ET"
AIMC,"Altra Indtl Mtn",38.6,-0.35,-0.90%,15923,50.0%,50.0%,"11:33 ET"
CVS,"CVS Corp",75.68,0.040000000000006,+0.05%,15536,55.2%,44.8%,"11:36 ET"
CMG,"Chipotle Mexican Grill",488.33,-0.79000000000002,-0.16%,15134,57.6%,42.4%,"11:34 ET"
ALL,"Allstate Corp",98.07,0.22,+0.22%,15013,11.5%,88.5%,"11:36 ET"
CTL,Centurylink,22.69,0.88,+4.03%,14726,27.3%,72.7%,"11:36 ET"
ABBV,"Abbvie Inc",93.51,-0.30999999999999,-0.33%,14682,34.1%,65.9%,"11:36 ET"
DAL,"Delta Air Lines Inc",58.07,0.51,+0.89%,14560,47.0%,53.0%,"11:35 ET"
TRV,"The Travelers Companies Inc",127.91,0.31,+0.24%,14491,10.3%,89.7%,"11:36 ET"
ATVI,"Activision Blizzard",78.2,3.94,+5.31%,14482,85.3%,14.7%,"11:36 ET"
UAL,"United Continental Holdings",88.27,0.17999999999999,+0.20%,14248,34.2%,65.8%,"11:36 ET"
VIAB,"Viacom Inc Cl B",29.03,-0.039999999999999,-0.14%,13981,90.1%,9.9%,"11:36 ET"
MTZ,"Mastec Inc",44,1.2,+2.80%,13919,34.1%,65.9%,"11:36 ET"
NBR,"Nabors Industries",6,0.21,+3.63%,13705,57.0%,43.0%,"11:36 ET"
MET,"Metlife Inc",45.19,-0.40000000000001,-0.88%,13674,92.1%,7.9%,"11:36 ET"
CCK,"Crown Cork & Seal Company",43.83,-0.38,-0.86%,13275,99.1%,0.9%,"11:34 ET"
VIPS,"Vipshop Holdings Ltd",5.93,0.069999999999999,+1.19%,13107,27.3%,72.7%,"11:35 ET"
GE,"General Electric Company",12.37,-0.14,-1.12%,12768,69.2%,30.8%,"11:36 ET"
BOX,"Box Inc",25.23,0.56,+2.27%,12742,58.0%,42.0%,"11:36 ET"
KMI,"Kinder Morgan",17.9,0.21,+1.19%,12542,68.1%,31.9%,"11:36 ET"
DNR,"Denbury Resources",5.36,0.16,+3.08%,12468,81.7%,18.3%,"11:36 ET"
COP,Conocophillips,71.64,0.48999999999999,+0.69%,12190,58.9%,41.1%,"11:36 ET"
LVS,"Las Vegas Sands",60.21,-0.99,-1.62%,12073,48.5%,51.5%,"11:35 ET"
BP,"BP Plc",42.57,0.48,+1.14%,11991,64.1%,35.9%,"11:36 ET"
SN,"Sanchez Energy Corp",2.47,0.02,+0.82%,11961,73.6%,26.4%,"11:23 ET"
TWLO,Twilio,85.83,1.52,+1.80%,11832,74.4%,25.6%,"11:35 ET"
MGM,"MGM Resorts International",26.74,-0.21,-0.78%,11630,60.9%,39.1%,"11:36 ET"
BMY,"Bristol-Myers Squibb Company",60.67,-0.19,-0.31%,11559,56.2%,43.8%,"11:36 ET"
JD,"Jd.Com Inc Ads",26.93,0.4,+1.51%,11501,54.6%,45.4%,"11:36 ET"
CSX,"CSX Corp",74.14,-0.17999999999999,-0.24%,11380,34.9%,65.1%,"11:36 ET"
URI,"United Rentals",165.3,5.31,+3.32%,11371,71.9%,28.1%,"11:36 ET"
SGMS,"Scientific Games",26.25,-0.45,-1.69%,11070,85.4%,14.6%,"11:36 ET"
JCP,"J.C. Penney Company Inc",1.79,0.03,+1.70%,10931,37.4%,62.6%,"11:33 ET"
SYMC,"Symantec Corp",19.82,-0.07,-0.35%,10886,80.5%,19.5%,"11:36 ET"
LRCX,"Lam Research Corp",154.88,-4.58,-2.87%,10820,60.7%,39.3%,"11:36 ET"
AKS,"AK Steel Holding Corp",4.22,-0.02,-0.47%,10739,54.3%,45.7%,"11:36 ET"
EXP,"Eagle Materials Inc",87.28,0.64,+0.74%,10636,97.8%,2.2%,"11:36 ET"
NVDA,"Nvidia Corp",273.94,-0.79000000000002,-0.29%,10629,64.3%,35.7%,"11:36 ET"
ITUB,"Itau Unibanco Banco Holding S.A.",10.01,-0.48,-4.58%,10521,48.8%,51.2%,"11:36 ET"
MMM,"3M Company",210.57,-2.36,-1.11%,10464,51.2%,48.8%,"11:36 ET"
FDX,"Fedex Corp",248.97,-0.47999999999999,-0.19%,10440,66.3%,33.7%,"11:36 ET"
USB,"U.S. Bancorp",54.13,0.039999999999999,+0.07%,10255,23.9%,76.1%,"11:36 ET"
ETFC,"E*Trade Finl Corp",54.56,-0.16999999999999,-0.31%,10220,81.8%,18.2%,"11:36 ET"
TXN,"Texas Instruments",106.45,-1.87,-1.73%,10075,22.3%,77.7%,"11:36 ET"
AABA,"Altaba Inc",64.5,0.7,+1.10%,10001,65.9%,34.1%,"11:36 ET"
MSFT,"Microsoft Corp",110.51,1.13,+1.03%,10000,71.9%,28.2%,"11:36 ET"
NRG,"NRG Energy",35.4,0.14,+0.40%,9989,81.5%,18.5%,"11:36 ET"
STX,"Seagate Tech Ord Shs",48.28,-2.01,-4.00%,9855,62.6%,37.4%,"11:36 ET"
DE,"Deere & Company",148.89,0.27999999999997,+0.19%,9822,51.1%,48.9%,"11:36 ET"
GRPN,"Groupon Cl A",3.94,0.02,+0.51%,9816,93.2%,6.8%,"11:36 ET"
EBAY,"Ebay Inc",33.98,0.27,+0.80%,9753,66.1%,33.9%,"11:36 ET"
CTRP,"Ctrip.Com Intl Ltd",36.38,-0.47,-1.28%,9625,39.4%,60.6%,"11:36 ET"
COG,"Cabot Oil & Gas Corp",21.7,-0.16,-0.73%,9525,93.6%,6.4%,"11:36 ET"
DB,"Deutsche Bank Ag",11.16,0.050000000000001,+0.45%,9355,36.3%,63.7%,"11:35 ET"
OSTK,"Overstock.Com Inc",26.75,0.8,+3.08%,9287,74.3%,25.7%,"11:36 ET"
KKR,"KKR & Co. LP",26.6,0.25,+0.95%,9269,92.6%,7.4%,"11:35 ET"
INFN,"Infinera Corp",7.41,-0.0099999999999998,-0.13%,9172,77.1%,22.9%,"11:32 ET"
ZS,"Zscaler Inc.",44.73,-1.03,-2.25%,9154,48.2%,51.8%,"11:31 ET"
MRO,"Marathon Oil Corp",20.5,0.15,+0.74%,9118,51.6%,48.4%,"11:36 ET"
BKNG,"Booking Holdings Inc.",1877.8,2.04,+0.11%,9094,54.1%,45.9%,"11:36 ET"
LUV,"Southwest Airlines Company",63.04,0.53,+0.85%,9064,83.4%,16.6%,"11:36 ET"
WB,"Weibo Corp Ads",68.57,-2.09,-2.96%,9060,66.1%,33.9%,"11:36 ET"
DLTR,"Dollar Tree Inc",84.2,0.3,+0.36%,9011,62.1%,37.9%,"11:36 ET"
BSX,"Boston Scientific Corp",35.75,-0.090000000000003,-0.25%,8989,66.1%,33.9%,"11:36 ET"
AVEO,"Aveo Pharmaceuticals",2.93,-0.03,-1.01%,8943,28.0%,72.0%,"11:26 ET"
HD,"Home Depot",213.02,2.33,+1.11%,8918,84.4%,15.6%,"11:36 ET"
SE,"Sea Limited ADR",12.29,-0.48,-3.76%,8903,0.3%,99.7%,"11:36 ET"
BKS,"Barnes & Noble",5,0,0.00%,8841,10.3%,89.7%,"11:21 ET"
OKTA,"Okta Inc Class A",74.37,2.29,+3.18%,8637,71.6%,28.4%,"11:36 ET"
FIT,"Fitbit Inc",5.88,-0.04,-0.68%,8599,64.7%,35.3%,"11:36 ET"
FRED,"Fred's Inc",2.54,-0.43,-14.48%,8598,72.7%,27.3%,"11:35 ET"
SHOP,"Shopify Inc",143.95,1.82,+1.28%,8574,33.2%,66.8%,"11:33 ET"
APC,"Anadarko Petroleum Corp",62.67,-0.51,-0.81%,8538,45.2%,54.8%,"11:36 ET"
HPQ,"Hewlett-Packard Company",24.64,-0.009999999999998,-0.04%,8443,50.1%,49.9%,"11:35 ET"
WDAY,"Workday Inc",146.1,2.44,+1.70%,8442,61.1%,38.9%,"11:36 ET"
ROKU,"Roku Inc",69.63,0.92,+1.34%,8392,72.6%,27.4%,"11:36 ET"
BPY,"Brookfield Property Partners L",20.03,0.17,+0.86%,8390,50.5%,49.5%,"11:36 ET"
ETE,"Energy Transfer Equity LP",17.75,0.09,+0.51%,8235,78.3%,21.7%,"11:36 ET"
BUD,"Anheuser-Busch Inbev S.A.",88.14,-1.74,-1.94%,8076,60.5%,39.5%,"11:36 ET"
WBA,"Walgreens Boots Alliance",68.89,0.090000000000003,+0.13%,7875,43.6%,56.4%,"11:36 ET"
LNG,"Cheniere Energy",64.78,0.090000000000003,+0.14%,7869,64.9%,35.1%,"11:36 ET"
CI,"Cigna Corp",183.8,-2.56,-1.37%,7865,58.2%,41.8%,"11:35 ET"
MPC,"Marathon Petroleum Corp",83.21,0.77999999999999,+0.95%,7863,74.2%,25.8%,"11:36 ET"
KHC,"Kraft Heinz Co",56.95,-0.29,-0.51%,7797,36.9%,63.1%,"11:36 ET"
NTES,"Netease Inc Ads",186.91,-1.48,-0.79%,7778,48.8%,51.2%,"11:36 ET"
ANF,"Abercrombie & Fitch Company",20.83,0.37,+1.81%,7752,69.4%,30.6%,"11:36 ET"
SWKS,"Skyworks Solutions",85.01,-2.15,-2.47%,7684,46.9%,53.1%,"11:36 ET"
TRI,"Thomson Reuters Corp",44.67,-0.039999999999999,-0.09%,7599,67.2%,32.8%,"11:35 ET"
CDEV,"Centennial Resource Development Inc",19.95,0.3,+1.53%,7543,33.6%,66.4%,"11:36 ET"
TAL,"Tal Education Group",26.32,-0.039999999999999,-0.15%,7524,11.1%,88.9%,"11:36 ET"
SWN,"Southwestern Energy Company",4.86,-0.02,-0.41%,7405,65.2%,34.8%,"11:36 ET"
SFM,"Sprouts Farmers Mark",28.7,-0.41,-1.41%,7370,91.0%,9.0%,"11:35 ET"
SGMO,"Sangamo Therapeutics",14.65,-0.1,-0.68%,7361,85.1%,14.9%,"11:33 ET"
SLCA,"U.S. Silica Holdings Inc",19.81,0.69,+3.61%,7358,18.4%,81.6%,"11:36 ET"
NEM,"Newmont Mining Corp",29.7,-0.039999999999999,-0.13%,7342,58.5%,41.5%,"11:36 ET"
STZ,"Constellation Brands Inc",214.24,2.18,+1.03%,7339,67.4%,32.6%,"11:36 ET"
AA,"Alcoa Corp",40.95,-1.06,-2.52%,7325,74.2%,25.8%,"11:36 ET"
KMX,"Carmax Inc",80.06,0.12,+0.15%,7284,88.8%,11.2%,"11:36 ET"
DWDP,"Dowdupont Inc",70.43,0.37,+0.53%,7008,67.4%,32.6%,"11:36 ET"
CMI,"Cummins Inc",142.73,0.31999999999999,+0.22%,7005,67.8%,32.2%,"11:36 ET"
GPRO,"Gopro Inc Cl A",6.3,-0.02,-0.32%,6990,48.5%,51.5%,"11:23 ET"
